"","ID","Description","Count","GeneRatio","geneID"
"GO:0006949","GO:0006949","syncytium formation",7,"7/1731","EHD2/TREM2/PLEKHO1/MYH9/GDF15/RIPOR2/RAPGEF3"
"GO:0007017","GO:0007017","microtubule-based process",62,"62/1731","AURKA/KIF22/PHLDB1/KIF15/HSPA8/CALML5/CCDC69/MID1/PKD2/LLGL2/GOLGA8B/ARHGEF2/SPAG1/MAP7D2/EFNA5/GAS2L3/AQP4/LLGL1/KIF5C/STMN3/CCNB1/TPX2/BICDL1/CALML3/GAPDH/IFT57/HIF1A/CDH5/NDC80/LMNA/CNP/TUBB3/LIMK2/CCDC170/KIF5A/CRYAB/STIL/HAP1/TUBB/NEK2/NEFL/EZR/DYNC1I1/OBSL1/MYH9/ERBB2/ASPM/PLK3/PARD6G/FES/STMN1/KIF1A/DEFB1/CHMP4C/ADCY3/CENPW/TUBB6/RCC1/MAPRE2/NDE1/TACC1/TUBA1B"
"GO:0007034","GO:0007034","vacuolar transport",6,"6/1731","BIN1/HSPA8/LYST/DTX3L/CLU/CHMP4C"
"GO:0007049","GO:0007049","cell cycle",153,"153/1731","AURKA/NCAPH/IGF2/EPB41L2/KIF22/CKS2/BIN1/CDKN2A/EVI2B/KIF15/HSPA8/DDX39B/CCDC69/PKD2/JUND/LLGL2/FHL1/GOLGA8B/ARHGEF2/SOX9/CDK6/AURKAIP1/LLGL1/RNF112/PLPP2/E2F2/USH1C/RAD51/SVIL/HGF/PIM2/BMP4/SFN/IKZF1/SYCP2/CCNB1/NCAPG/MND1/TPX2/MLF1/TXNIP/RUNX3/DHCR24/OIP5/IRF1/MCM3/GSPT2/PPP1R15A/LIF/SKIL/PEA15/NDC80/BRINP1/LMNA/RNF212/CDKN2B/PSMB8/IQGAP3/TUBB3/IL1B/PTP4A1/NEDD9/SLC39A5/ASCL1/LIMK2/MEIS2/GADD45G/WDHD1/RBBP8/CGREF1/INHA/RHOU/FBXO6/STIL/MCM2/KANK2/TUBB/NUPR1/WNT5A/FBXL6/UBE2E2/PLAGL1/NEK2/RB1/RFC3/GAS1/CDC6/EZR/GDPD5/MIR590/GATA3/KLF4/HJURP/MAD2L2/OBSL1/TRNP1/MYH9/TSPYL2/ASPM/PLK3/PARD6G/ANXA1/TBX3/DTL/PHLDA1/NR2F2/FES/HES1/STMN1/HYAL1/CDC7/PHGDH/CDC45/RRAGD/KLF11/MIR221/PTPRC/RASSF4/E2F7/CHMP4C/NPM2/PTGS2/STK10/TTLL12/CHTF18/MCM10/BMP2/KNTC1/PTPN6/TPD52L1/JUN/CCNJL/CENPW/ECT2/PBX1/RMI2/ZFP36L1/CENPF/FOSL1/TUBB6/MYB/MAGI2/TGFB2/RCC1/APBB2/ID4/MAPRE2/SMAD3/NDE1/TACC1/TUBA1B/GIPC1/FGFR2"
"GO:0007059","GO:0007059","chromosome segregation",22,"22/1731","NCAPH/KIF22/SRPK1/BEX4/SYCP2/CCNB1/NCAPG/OIP5/NDC80/RNF212/NEK2/RB1/CDC6/HJURP/MAD2L2/CHMP4C/CENPW/ECT2/RMI2/CENPF/RCC1/NDE1"
"GO:0007154","GO:0007154","cell communication",714,"714/1731","TP63/CD24/IGHV3-35/IGHV3-21/AURKA/IGHV3-11/ADGRA2/CYP24A1/SH2D3C/OXER1/SYP/IGF2/STK39/PLPPR1/RHOV/SLIT3/THRB/CD83/NAMPT/MAP3K21/HHLA2/TSPYL5/ACTN4/CD8B/AMOTL1/F11R/CTSB/UNC93B1/IQGAP2/ARHGAP26/NR0B2/STAC2/LY6E/CD7/GNAS/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/TMEM38B/TRBV7-9/CD74/IGHV3-72/NTRK2/HDAC1/CDKN2A/SHANK3/JPH1/HTRA1/CXCL13/SPRED1/CTSC/HSPA8/CDC42EP1/CEL/RNF213/CALML5/GNG4/MRAP2/HOMER3/BAIAP3/SCARB1/IGHV3-15/IGHV3-48/IGHV3-7/PTHLH/TSHZ3/ATP1A2/BIRC3/CXCL12/IL24/SCGN/FGD1/MID1/IGKV1D-39/CSF1/EYA1/ITPKB/GPR158/FAM53B/NXPH3/PKD2/EPHB3/CASQ2/CSF1R/HLA-DRB1/S100A4/PRAME/PPBP/CCL11/DTX4/TAGAP/RAC2/CYTL1/PLA2G1B/MTSS1/SEMA6D/MUC13/HNF1A/FGFR4/OASL/KCNQ1/NOX1/BCAR1/DKK3/LLGL2/PANX2/SPN/PELI1/MAP3K5/IGHV5-51/IGHV3-33/IGLV2-8/SPRY4/GABRD/ITPR3/MAP3K1/NCDN/PLP2/CTNND1/SRPX/TNFRSF25/GPR143/SYTL4/SIGMAR1/ARHGEF2/FOXA2/EFNA5/ADAP2/IGKV1-39/SOX9/ZNF106/JAK3/CAP2/CDK6/A2M/TGIF2/IFIT1/PLVAP/F2/IL17RE/CXCL3/CXCL1/BST2/NRXN2/BST1/LPXN/WIF1/RAB34/HEY1/CHSY1/LLGL1/IL1RN/GNAZ/PLPP2/VAV1/NOS2/E2F2/DTX1/CD36/JUP/STAP2/PCDHB16/STMN3/IGHV2-26/IGHV3-20/MT3/GCLM/SRPK1/HGF/SNAI2/GABRE/UNC13B/PORCN/HLA-A/PIM2/WNT6/GPR162/ANGPTL1/S1PR4/SLC39A14/ZDHHC2/IGKV2-30/BMP4/ARHGDIG/SDCBP2/SLC7A11/DLG5/BTBD11/ITPR1/MAST1/GRIK5/SFN/STAC3/GNB4/VAMP8/NDN/AKR1C3/SEMA4A/FCGR3A/GAP43/CCR1/SHC2/CCNB1/CACNA2D2/LAMA3/CD79B/SELE/FNIP2/CCL26/TIAM1/DLC1/GPR176/DOC2B/SLC2A10/NTN1/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/TPX2/OSCAR/IGFBP4/DUOX1/ARHGAP29/KCNJ10/DDIT4/PXK/CALML3/MDFIC/HEG1/GALNT11/PRR5L/EPHA7/HILPDA/TXNIP/TMEM14A/SYT13/PLEKHB1/BLNK/OPHN1/CEACAM1/HLA-H/KAZALD1/SESN1/DDX58/DOCK8/CHRDL1/SCTR/GPRC5B/UNC5B/CD3D/DLL1/FAM3D/ERRFI1/DHCR24/SLC1A4/UGCG/OIP5/ITGB3/TRPS1/PRKD1/IRF1/EFNA4/RAB23/TFPT/PLEKHA4/GAPDH/FAM83E/TEAD3/GGCT/PTGER3/OPN3/CXCL17/PLXNA1/NR2F1/IFT57/USP9Y/LPAR6/SPP1/GJB4/NTN4/HIF1A/IL2RB/ARHGAP45/AFDN/DTX3L/CDH5/TLE2/TIE1/PDE4A/IFI27/SOX17/BATF/JAM3/GLRB/MCU/TNFRSF11B/TFAP2C/PPP1R15A/IGHV3-66/SORBS3/CLU/LIF/SKIL/VGF/TREM2/RHEX/CCL3/DEPDC1/TRAC/FAS/GRB7/BCL2L10/PAQR8/UACA/PLCB2/BCAR3/HUNK/TIMP1/PEA15/ASB9/PLXNB3/MIR573/MAGI3/LMNA/CNP/FAM83B/CDKN2B/SHC3/PTGES/FOXD1/G0S2/PSMB8/PDGFRL/IQGAP3/ESRP1/CA2/TUBB3/KCND2/IL1B/RHBDF1/CAPS/CREB3L4/RASAL1/NEDD9/SDC2/SIPA1L3/CADM4/ITGB8/NFAM1/NUAK1/C5AR1/PRKCQ/DPP4/VEPH1/SLC39A5/CLSTN3/PRICKLE1/SGK1/ASCL1/GJB5/S100A14/DOCK9/IGHV1-18/IGHV3-49/IGHV1-58/TNFRSF10B/GADD45G/SH3BP4/DCTPP1/BHLHA15/CALB2/KIF5A/CPE/AREG/CRYAB/NMU/RAB39B/SNX25/GJA5/DSP/GABRP/MARCO/SEMA4G/TYMP/CD44/SORBS1/EDNRB/RHPN2/PTPRE/PPARG/HIP1/RASSF9/PLN/EPS8L3/PCSK1N/RBBP8/ADGRF4/MEF2C/TCF7/MERTK/CMTM7/HLA-DRA/GPR27/IFITM3/HTRA3/INHA/RHOU/EPHA4/SDC1/STIL/BAIAP2L1/SYN1/NNAT/CYBA/VEGFB/HAVCR2/HAP1/SUSD5/VASN/SHC1/CCR5/IL6R/PLAT/TJP1/NAPB/RASL12/FLRT3/GSDMD/CLDN5/NCALD/MAML2/ERBB3/SERPINB2/MYO5A/DGKA/KANK2/COL4A6/COMP/RAB3A/HAMP/FREM2/SCN1B/S100A7/EFNA3/RASIP1/ARHGDIB/SOD2/SIRPG/IGHV1-24/IFITM1/NLGN3/RASSF10/ALKAL2/MAOA/PTPRT/NUPR1/IRF7/WNT5A/FGF12/PCDH17/P2RY2/PLAGL1/RB1/DUSP6/HCLS1/RFC3/RRAS2/KL/GAS1/EPHB2/MTURN/TRPM4/NEFL/IGKV1D-12/BAMBI/PALM3/EZR/ADA2/WFS1/PPARGC1A/FABP5/GDPD5/NBL1/ADCY1/MIR135A1/MIR590/ARC/APCDD1L/DAB2/SLC1A3/SHB/CDH17/GATA3/VANGL2/DDR2/TBL1X/MYOM1/ARHGEF5/PTPRN/TNFRSF12A/PPP1R1B/FCRLA/TRIM22/RASL11B/TXN/KLF4/ADM2/ACTL6A/PKN1/PLP1/TNFAIP6/MAD2L2/RAB38/MYH9/GZMB/FERMT2/YAP1/ERBB2/PMAIP1/TSPYL2/LRRC19/CITED1/SH2D1A/IGKV1-12/PEG10/NPW/ASPM/SPI1/ARRDC1/PDGFA/FAM20C/NET1/POLR2L/PLK3/PTPRM/NREP/ANXA1/TBX3/HPN/PLPPR2/RERGL/DTL/PLA2G4C/CRIM1/CLEC11A/AKAP1/IGHV3-53/TCF21/NR2F2/ATP6V0C/FES/HES1/LDOC1/WWC1/LIFR/STMN1/TTR/ASB13/HMGN3/CNR1/CD55/IL1RAP/WWTR1/IL11/DPYSL2/RRAGD/FPR3/ISG15/C3AR1/TMEM64/CLEC7A/LYNX1/SSTR2/CXCL5/SHISA2/GDF15/ARPC1B/PXDN/OLFM1/LSP1/TRAF1/CYTH3/LTBP1/STARD10/ITGBL1/ADGRF1/SMAD7/MIR221/MUC2/PTPRC/PKP1/RASSF4/VAMP2/NCS1/TENM3/DEFB1/E2F7/MOAP1/CLIC2/GNA14/CDA/CPT1A/MAPK10/PTGS2/SREBF1/TTLL12/NCF4/WWP1/PRDX4/PFKFB2/VLDLR/PIK3R1/CXCL14/TMEM204/APOL3/VIL1/DACT3/GAL3ST4/GDAP1/TNFRSF10A/OVOL2/BMP2/PAX8/PRKX/PTGER2/SRMS/ACHE/MMP2/IGHV4-61/IGHV1-69/DOCK3/FOXA3/CAVIN3/ADCY3/S1PR1/TRPM2/ATP1A3/PTPN6/SASH1/VDR/IL18/FOXO1/BTN3A3/TPD52L1/RIPOR2/REN/JUN/ITGA7/ZBTB7B/DTX3/PTH1R/PDGFRA/GDF11/ECT2/CSPG5/S100A13/KPNA2/RGMA/UNC5C/CREB3L2/PBX1/RMI2/BCHE/ZFP36L1/RCAN3/FOSL1/MUC5B/BAIAP2/MYB/MAGI2/BCAM/DNER/BTN3A1/HLA-DPA1/TGFB2/RASSF5/HERPUD1/IL32/PHPT1/CX3CL1/RCC1/APBB2/ABHD6/BSG/KANK1/RAPGEF3/KCNN2/ASPN/MAPRE2/SMAD3/STK17B/MIR23A/SCAMP5/PTPRD/SH3GL2/LAMA1/TMEM38A/ASB2/EFS/BTNL9/PSD3/SLA/FGF18/PCDH1/COL1A2/PRRX1/IL13RA2/GIPC1/NMI/PDIA5/FGFR2/CLDN18"
"GO:0007155","GO:0007155","cell adhesion",218,"218/1731","CD24/NID2/IGF2/VSIR/HLA-DMB/CD83/HHLA2/ACTN4/LYVE1/F11R/GNAS/CD74/CARMIL1/CDKN2A/SWAP70/CXCL13/CDC42EP1/CEL/EPB41L4B/CXCL12/MPDZ/TACSTD2/CSF1/ITPKB/EPHB3/HLA-DRB1/CCL11/CLDN8/RAC2/MTSS1/BCAR1/SPN/PELI1/CD96/CTNND1/SRPX/FOXA2/EFNA5/PKP3/SOX9/PLEKHA2/JAK3/CDK6/PODXL2/NRXN2/BST1/LPXN/IL1RN/VAV1/DTX1/CD36/COL26A1/JUP/PCDHB16/SNAI2/PDLIM1/HLA-A/ZDHHC2/BMP4/ARHGDIG/SLC7A11/DLG5/SLC7A1/MYBPC1/CCR1/LAMA3/SELE/TIAM1/DLC1/NTN1/SIGLEC1/NT5E/EPHA7/RUNX3/CEACAM1/DOCK8/ARG2/COL5A3/SPOCK2/DLL1/ITGB3/IRF1/CD93/LAMC3/PLXNA1/SPP1/NTN4/LAMB2/AFDN/CDH5/JAM3/ZBTB16/SORBS3/LIF/EMILIN2/SRPX2/PLXNB3/CD99L2/PNP/AZGP1/ASTN2/IL1B/NEDD9/CADM4/ITGB8/NUAK1/COL17A1/PRKCQ/DPP4/CLSTN3/NTM/SPINK5/ADAMDEC1/DSP/CD44/SORBS1/HAPLN1/C2CD4A/MERTK/CLCA2/CGREF1/EPHA4/BAIAP2L1/HAVCR2/SUSD5/LRFN4/SHC1/TJP1/FLRT3/CLDN5/CTNNA2/ERBB3/COL4A6/COMP/FREM2/SCN1B/ARHGDIB/SIRPG/NLGN3/PTPRT/WNT5A/PCDH17/FRMD5/EZR/EGFL6/MEGF9/CDH17/GATA3/ECM2/DDR2/TNFRSF12A/PODXL/KLF4/TNFAIP6/MAD2L2/OBSL1/MYH9/FERMT2/PVR/COL6A1/ERBB2/PTPRM/NECTIN3/ETS1/ANXA1/TESC/FES/HES1/CD55/IL1RAP/HYAL1/LOXL2/CYTH3/ITGBL1/SMAD7/MIR221/PTPRC/PKP1/TENM3/CD1D/STK10/PIK3R1/BMP2/PRKX/ACHE/S1PR1/PTPN6/IL18/RIPOR2/SOX12/ITGA7/CD151/CLDN10/ZBTB7B/PDGFRA/CSPG5/ZFP36L1/BAIAP2/MYB/BCAM/HLA-DPA1/TGFB2/IL32/CX3CL1/ADAM22/ADAMTS9/TLN2/REG3A/BSG/KANK1/SMAD3/PTPRD/LAMA1/EFS/PCDH1/SSPN/CLDN18/CD84"
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity",30,"30/1731","AMOTL1/RAC2/LLGL2/SPN/ARHGEF2/CAP2/LLGL1/PDLIM1/CLIC4/DLG5/OPHN1/DOCK8/CDH5/JAM3/NDC80/LMNA/SIPA1L3/WNT5A/GATA3/VANGL2/MYH9/PARD6G/UST/HES1/WWC1/CYTH3/RIPOR2/KANK1/LAMA1/NDE1"
"GO:0007165","GO:0007165","signal transduction",653,"653/1731","TP63/CD24/IGHV3-35/IGHV3-21/AURKA/IGHV3-11/ADGRA2/CYP24A1/SH2D3C/OXER1/SYP/IGF2/STK39/PLPPR1/RHOV/SLIT3/THRB/CD83/NAMPT/MAP3K21/HHLA2/TSPYL5/ACTN4/CD8B/AMOTL1/F11R/CTSB/UNC93B1/IQGAP2/ARHGAP26/NR0B2/STAC2/LY6E/CD7/GNAS/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/TMEM38B/TRBV7-9/CD74/IGHV3-72/NTRK2/HDAC1/CDKN2A/SHANK3/JPH1/HTRA1/CXCL13/SPRED1/CTSC/HSPA8/CDC42EP1/RNF213/CALML5/GNG4/MRAP2/HOMER3/BAIAP3/SCARB1/IGHV3-15/IGHV3-48/IGHV3-7/PTHLH/ATP1A2/BIRC3/CXCL12/IL24/FGD1/MID1/IGKV1D-39/CSF1/EYA1/ITPKB/GPR158/FAM53B/NXPH3/PKD2/EPHB3/CASQ2/CSF1R/HLA-DRB1/S100A4/PRAME/PPBP/CCL11/DTX4/TAGAP/RAC2/CYTL1/PLA2G1B/MTSS1/SEMA6D/MUC13/FGFR4/OASL/NOX1/BCAR1/DKK3/LLGL2/SPN/PELI1/MAP3K5/IGHV5-51/IGHV3-33/IGLV2-8/SPRY4/GABRD/ITPR3/MAP3K1/PLP2/CTNND1/SRPX/TNFRSF25/GPR143/SIGMAR1/ARHGEF2/EFNA5/ADAP2/IGKV1-39/SOX9/ZNF106/JAK3/CAP2/CDK6/A2M/TGIF2/IFIT1/PLVAP/F2/IL17RE/CXCL3/CXCL1/BST2/NRXN2/BST1/LPXN/WIF1/RAB34/HEY1/CHSY1/LLGL1/IL1RN/GNAZ/PLPP2/VAV1/NOS2/E2F2/DTX1/CD36/JUP/STAP2/STMN3/IGHV2-26/IGHV3-20/MT3/GCLM/SRPK1/HGF/SNAI2/GABRE/UNC13B/PORCN/HLA-A/PIM2/WNT6/GPR162/ANGPTL1/S1PR4/SLC39A14/IGKV2-30/BMP4/ARHGDIG/SDCBP2/DLG5/BTBD11/ITPR1/MAST1/GRIK5/SFN/STAC3/GNB4/NDN/AKR1C3/SEMA4A/FCGR3A/GAP43/CCR1/SHC2/CCNB1/LAMA3/CD79B/SELE/FNIP2/CCL26/TIAM1/DLC1/GPR176/SLC2A10/NTN1/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/TPX2/OSCAR/IGFBP4/DUOX1/ARHGAP29/DDIT4/CALML3/MDFIC/HEG1/GALNT11/PRR5L/EPHA7/TXNIP/TMEM14A/PLEKHB1/BLNK/OPHN1/CEACAM1/HLA-H/KAZALD1/SESN1/DDX58/DOCK8/CHRDL1/SCTR/GPRC5B/UNC5B/CD3D/DLL1/FAM3D/ERRFI1/DHCR24/UGCG/ITGB3/TRPS1/PRKD1/IRF1/EFNA4/RAB23/TFPT/PLEKHA4/FAM83E/TEAD3/GGCT/PTGER3/OPN3/CXCL17/PLXNA1/NR2F1/IFT57/USP9Y/LPAR6/SPP1/HIF1A/IL2RB/ARHGAP45/AFDN/DTX3L/CDH5/TLE2/TIE1/PDE4A/IFI27/SOX17/BATF/GLRB/MCU/TNFRSF11B/PPP1R15A/IGHV3-66/SORBS3/CLU/LIF/SKIL/VGF/TREM2/RHEX/CCL3/DEPDC1/TRAC/FAS/GRB7/BCL2L10/PAQR8/UACA/PLCB2/BCAR3/HUNK/TIMP1/PEA15/ASB9/PLXNB3/MIR573/MAGI3/LMNA/FAM83B/CDKN2B/SHC3/PTGES/FOXD1/G0S2/PSMB8/PDGFRL/IQGAP3/ESRP1/CA2/TUBB3/IL1B/RHBDF1/CAPS/CREB3L4/RASAL1/NEDD9/SDC2/SIPA1L3/CADM4/ITGB8/NFAM1/NUAK1/C5AR1/PRKCQ/VEPH1/SLC39A5/PRICKLE1/SGK1/ASCL1/S100A14/DOCK9/IGHV1-18/IGHV3-49/IGHV1-58/TNFRSF10B/GADD45G/SH3BP4/BHLHA15/CPE/AREG/CRYAB/NMU/RAB39B/SNX25/GABRP/MARCO/SEMA4G/TYMP/CD44/SORBS1/EDNRB/RHPN2/PTPRE/PPARG/HIP1/RASSF9/PLN/EPS8L3/PCSK1N/RBBP8/ADGRF4/MEF2C/TCF7/MERTK/CMTM7/HLA-DRA/GPR27/IFITM3/HTRA3/INHA/RHOU/EPHA4/SDC1/STIL/BAIAP2L1/CYBA/VEGFB/HAVCR2/HAP1/SUSD5/VASN/SHC1/CCR5/IL6R/PLAT/TJP1/RASL12/FLRT3/CLDN5/NCALD/MAML2/ERBB3/SERPINB2/MYO5A/DGKA/KANK2/COL4A6/COMP/HAMP/S100A7/EFNA3/RASIP1/ARHGDIB/SOD2/SIRPG/IGHV1-24/IFITM1/NLGN3/RASSF10/ALKAL2/MAOA/PTPRT/NUPR1/IRF7/WNT5A/FGF12/P2RY2/PLAGL1/RB1/DUSP6/HCLS1/RFC3/RRAS2/KL/GAS1/EPHB2/MTURN/TRPM4/NEFL/IGKV1D-12/BAMBI/PALM3/EZR/ADA2/WFS1/PPARGC1A/FABP5/GDPD5/NBL1/ADCY1/MIR135A1/MIR590/ARC/APCDD1L/DAB2/SHB/CDH17/GATA3/VANGL2/DDR2/TBL1X/MYOM1/ARHGEF5/PTPRN/TNFRSF12A/PPP1R1B/FCRLA/TRIM22/RASL11B/TXN/KLF4/ADM2/ACTL6A/PKN1/PLP1/TNFAIP6/MAD2L2/RAB38/MYH9/GZMB/FERMT2/YAP1/ERBB2/PMAIP1/TSPYL2/LRRC19/CITED1/SH2D1A/IGKV1-12/PEG10/NPW/ASPM/SPI1/ARRDC1/PDGFA/FAM20C/NET1/POLR2L/PLK3/PTPRM/NREP/ANXA1/HPN/PLPPR2/RERGL/DTL/PLA2G4C/CRIM1/CLEC11A/AKAP1/IGHV3-53/TCF21/NR2F2/ATP6V0C/FES/HES1/LDOC1/WWC1/LIFR/STMN1/TTR/ASB13/CNR1/CD55/IL1RAP/WWTR1/IL11/DPYSL2/RRAGD/FPR3/ISG15/C3AR1/TMEM64/CLEC7A/LYNX1/SSTR2/CXCL5/SHISA2/GDF15/ARPC1B/PXDN/OLFM1/LSP1/TRAF1/CYTH3/LTBP1/STARD10/ITGBL1/ADGRF1/SMAD7/MIR221/MUC2/PTPRC/PKP1/RASSF4/NCS1/TENM3/DEFB1/E2F7/MOAP1/CLIC2/GNA14/CDA/MAPK10/PTGS2/SREBF1/TTLL12/NCF4/WWP1/PRDX4/VLDLR/PIK3R1/CXCL14/TMEM204/APOL3/VIL1/DACT3/TNFRSF10A/OVOL2/BMP2/PAX8/PRKX/PTGER2/SRMS/MMP2/IGHV4-61/IGHV1-69/DOCK3/CAVIN3/ADCY3/S1PR1/TRPM2/PTPN6/SASH1/VDR/IL18/FOXO1/BTN3A3/TPD52L1/RIPOR2/REN/JUN/ITGA7/ZBTB7B/DTX3/PTH1R/PDGFRA/GDF11/ECT2/CSPG5/S100A13/KPNA2/RGMA/UNC5C/CREB3L2/PBX1/RMI2/ZFP36L1/RCAN3/MUC5B/BAIAP2/MAGI2/BCAM/DNER/BTN3A1/HLA-DPA1/TGFB2/RASSF5/HERPUD1/IL32/PHPT1/CX3CL1/RCC1/APBB2/ABHD6/BSG/KANK1/RAPGEF3/ASPN/MAPRE2/SMAD3/STK17B/MIR23A/PTPRD/SH3GL2/LAMA1/TMEM38A/ASB2/EFS/BTNL9/PSD3/SLA/FGF18/COL1A2/PRRX1/IL13RA2/GIPC1/NMI/PDIA5/FGFR2/CLDN18"
"GO:0007272","GO:0007272","ensheathment of neurons",17,"17/1731","ABCD1/NTRK2/CTSC/ZNF488/GAL3ST1/HGF/DEGS1/KCNJ10/JAM3/CLU/TYMP/MYO5A/ABCA2/PLP1/ERBB2/ADAM22/ID4"
"GO:0008037","GO:0008037","cell recognition",44,"44/1731","IGHV3-35/IGHV3-21/IGHV3-11/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/IGHV3-72/LY6K/SCARB1/IGHV3-15/IGHV3-48/IGHV3-7/EPHB3/IGHV5-51/IGHV3-33/SPESP1/CD36/IGHV2-26/IGHV3-20/NDN/GAP43/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/CRTAC1/DOCK8/IGHV3-66/NTM/IGHV1-18/IGHV3-49/IGHV1-58/EPHA4/HAVCR2/IGHV1-24/EPHB2/IGHV3-53/CNR1/CLEC7A/IGHV4-61/IGHV1-69/BSG/PRF1"
"GO:0008219","GO:0008219","cell death",234,"234/1731","TP63/CD24/AURKA/SLIT3/THRB/NAMPT/ACTN4/CTSB/BIN1/CD74/NTRK2/HDAC1/CDKN2A/EVI2B/CTSC/KCNMA1/NLRP2/BIRC3/CXCL12/IL24/FGD1/CSF1/EYA1/ITPKB/KAZN/CSF1R/PRAME/KRT17/PLA2G1B/NOX1/BCAR1/PELI1/MAP3K5/SRPX/MIR200A/TNFRSF25/SIGMAR1/ARHGEF2/PKP3/SOX9/JAK3/MFSD10/TNFAIP8/RNF112/MIEN1/VAV1/PRSS8/E2F2/CD36/JUP/MT3/GCLM/HGF/SNAI2/UNC13B/PIM2/SLC25A27/BMP4/ALDH1A3/SLC7A11/DLG5/ITPR1/NCOA7/GRIK5/SFN/SYCP2/AKR1C3/SCIN/FNIP2/TIAM1/DLC1/GSDMB/SIX4/GZMH/NTN1/TPX2/DDIT4/EPHA7/TXNIP/TMEM14A/DOCK8/ARG2/UNC5B/PTPRH/DLL1/DHCR24/TRPS1/PRKD1/IRF1/TFPT/GAPDH/GGCT/PTGER3/IFT57/SUSD6/HIF1A/IL2RB/CDH5/IFI27/HTATIP2/ZBTB16/TNFRSF11B/PPP1R15A/CLU/SKIL/TREM2/CCL3/FAS/BCL2L10/UACA/CAST/TIMP1/PEA15/BRINP1/MAGI3/LMNA/G0S2/IL1B/C5AR1/PRKCQ/SGK1/ASCL1/S100A14/TNFRSF10B/SPINK5/GADD45G/DNASE1L3/TRIM2/CRYAB/CIDEC/DSP/CD44/EDNRB/PPARG/HIP1/SDF2L1/MEF2C/TCF7/MERTK/STIL/HEBP2/SHC1/CCR5/IL6R/GSDMD/MCM2/ERBB3/SERPINB2/KANK2/COMP/SPRR1B/SPRR1A/SOD2/NUPR1/IRF7/WNT5A/PLAGL1/RB1/DUSP6/HCLS1/RRAS2/GAS1/NEFL/PLEKHN1/WFS1/PPARGC1A/MIR590/DAB2/SHB/GATA3/ARHGEF5/TNFRSF12A/TXN/KLF4/PKN1/GZMB/YAP1/PMAIP1/HP/SPRR2A/CITED1/PEG10/SPI1/NET1/PLK3/ANXA1/TBX3/HPN/PHLDA1/PPL/CNR1/SPRR2E/PTMA/KLF11/CLEC7A/OLFM1/TRAF1/MIR221/PTPRC/PKP1/MOAP1/PTGS2/PYGL/PIK3R1/VIL1/TNFRSF10A/BMP2/PAX8/PTPN6/VDR/FOXO1/TPD52L1/JUN/ACOX2/ECT2/UNC5C/KRT6B/ZFP36L1/FOSL1/MYB/MAGEH1/TGFB2/RASSF5/HERPUD1/CX3CL1/APBB2/RNF122/PRF1/SMAD3/STK17B/DHRS2/PI3/PROC/FGFR2"
